age,duration,campaign,pdays,previous,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
42,366,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
48,357,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
37,232,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
44,91,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
33,273,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
56,158,2,999,0,1.1,93.994,-36.4,4.857,5191.0,no
44,177,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
41,200,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
44,172,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
47,176,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
57,211,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
37,214,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
41,1575,1,999,0,1.1,93.994,-36.4,4.857,5191.0,yes
55,349,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
33,337,2,999,0,1.1,93.994,-36.4,4.857,5191.0,no
55,272,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
42,208,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
50,193,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
51,212,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
38,165,2,999,0,1.1,93.994,-36.4,4.857,5191.0,no
49,1042,1,999,0,1.1,93.994,-36.4,4.857,5191.0,yes
38,20,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
31,246,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
41,529,2,999,0,1.1,93.994,-36.4,4.857,5191.0,no
39,192,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
49,1467,1,999,0,1.1,93.994,-36.4,4.857,5191.0,yes
34,188,2,999,0,1.1,93.994,-36.4,4.857,5191.0,no
35,180,2,999,0,1.1,93.994,-36.4,4.857,5191.0,no
57,48,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
60,213,2,999,0,1.1,93.994,-36.4,4.857,5191.0,no
33,545,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
42,583,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
45,221,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
42,426,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
53,287,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
37,197,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
44,257,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
54,229,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
49,55,3,999,0,1.1,93.994,-36.4,4.857,5191.0,no
54,400,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
52,197,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
52,190,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
43,21,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
34,300,2,999,0,1.1,93.994,-36.4,4.857,5191.0,no
35,123,2,999,0,1.1,93.994,-36.4,4.857,5191.0,no
42,293,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
43,325,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
60,514,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
58,849,2,999,0,1.1,93.994,-36.4,4.857,5191.0,no
35,194,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
55,212,2,999,0,1.1,93.994,-36.4,4.857,5191.0,no
37,337,2,999,0,1.1,93.994,-36.4,4.857,5191.0,no
36,286,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
52,247,2,999,0,1.1,93.994,-36.4,4.857,5191.0,no
57,518,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
56,364,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
48,178,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
40,98,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
49,439,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
41,139,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
45,79,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
32,175,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
42,262,2,999,0,1.1,93.994,-36.4,4.857,5191.0,no
50,61,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
31,78,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
56,102,2,999,0,1.1,93.994,-36.4,4.857,5191.0,no
41,579,1,999,0,1.1,93.994,-36.4,4.857,5191.0,yes
37,143,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
41,677,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
35,267,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
37,345,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
52,185,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
39,207,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
39,69,2,999,0,1.1,93.994,-36.4,4.857,5191.0,no
56,100,2,999,0,1.1,93.994,-36.4,4.857,5191.0,no
34,125,2,999,0,1.1,93.994,-36.4,4.857,5191.0,no
45,461,1,999,0,1.1,93.994,-36.4,4.857,5191.0,yes
43,240,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
56,70,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
39,193,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
53,136,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
38,73,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
42,528,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
42,541,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
35,338,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
40,163,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
51,87,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
60,301,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
56,46,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
39,52,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
56,204,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
40,155,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
36,98,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
51,71,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
51,243,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
43,186,2,999,0,1.1,93.994,-36.4,4.857,5191.0,no
59,579,2,999,0,1.1,93.994,-36.4,4.857,5191.0,no
24,165,2,999,0,1.1,93.994,-36.4,4.857,5191.0,no
37,163,2,999,0,1.1,93.994,-36.4,4.857,5191.0,no
40,46,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
42,559,3,999,0,1.1,93.994,-36.4,4.857,5191.0,no
39,2033,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
37,85,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
38,506,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
56,114,2,999,0,1.1,93.994,-36.4,4.857,5191.0,no
40,114,2,999,0,1.1,93.994,-36.4,4.857,5191.0,no
54,843,2,999,0,1.1,93.994,-36.4,4.857,5191.0,no
43,181,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
36,427,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
45,292,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
42,192,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
43,93,3,999,0,1.1,93.994,-36.4,4.857,5191.0,no
46,128,2,999,0,1.1,93.994,-36.4,4.857,5191.0,no
44,107,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
51,303,2,999,0,1.1,93.994,-36.4,4.857,5191.0,no
28,81,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
37,270,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
34,228,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
46,240,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
42,673,2,999,0,1.1,93.994,-36.4,4.857,5191.0,yes
36,233,3,999,0,1.1,93.994,-36.4,4.857,5191.0,no
54,102,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
57,461,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
51,250,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
54,130,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
49,252,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
34,138,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
41,412,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
38,179,2,999,0,1.1,93.994,-36.4,4.857,5191.0,no
45,19,2,999,0,1.1,93.994,-36.4,4.857,5191.0,no
42,228,2,999,0,1.1,93.994,-36.4,4.857,5191.0,no
34,55,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
48,717,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
37,313,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
34,289,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
40,683,2,999,0,1.1,93.994,-36.4,4.857,5191.0,no
43,1077,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
33,146,2,999,0,1.1,93.994,-36.4,4.857,5191.0,no
32,167,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
39,356,2,999,0,1.1,93.994,-36.4,4.857,5191.0,no
43,277,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
44,172,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
35,218,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
35,217,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
35,67,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
36,291,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
35,248,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
36,256,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
55,286,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
59,477,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
57,611,2,999,0,1.1,93.994,-36.4,4.857,5191.0,no
39,471,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
39,381,2,999,0,1.1,93.994,-36.4,4.857,5191.0,no
30,251,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
30,408,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
50,287,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
40,322,3,999,0,1.1,93.994,-36.4,4.857,5191.0,no
35,216,2,999,0,1.1,93.994,-36.4,4.857,5191.0,no
43,366,2,999,0,1.1,93.994,-36.4,4.857,5191.0,no
36,210,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
46,288,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
40,168,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
58,132,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
42,64,2,999,0,1.1,93.994,-36.4,4.857,5191.0,no
35,209,2,999,0,1.1,93.994,-36.4,4.857,5191.0,no
43,410,3,999,0,1.1,93.994,-36.4,4.857,5191.0,no
45,177,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
39,580,2,999,0,1.1,93.994,-36.4,4.857,5191.0,no
50,165,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
32,127,2,999,0,1.1,93.994,-36.4,4.857,5191.0,no
39,357,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
52,175,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
44,300,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
56,136,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
48,125,2,999,0,1.1,93.994,-36.4,4.857,5191.0,no
33,189,2,999,0,1.1,93.994,-36.4,4.857,5191.0,no
43,213,3,999,0,1.1,93.994,-36.4,4.857,5191.0,no
57,238,2,999,0,1.1,93.994,-36.4,4.857,5191.0,no
36,124,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
34,18,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
34,730,2,999,0,1.1,93.994,-36.4,4.857,5191.0,no
30,40,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
33,181,2,999,0,1.1,93.994,-36.4,4.857,5191.0,no
32,79,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
36,142,2,999,0,1.1,93.994,-36.4,4.857,5191.0,no
36,389,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
33,702,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
40,151,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
41,211,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
51,117,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
36,232,3,999,0,1.1,93.994,-36.4,4.857,5191.0,no
28,408,2,999,0,1.1,93.994,-36.4,4.857,5191.0,no
53,370,3,999,0,1.1,93.994,-36.4,4.857,5191.0,no
58,179,2,999,0,1.1,93.994,-36.4,4.857,5191.0,no
45,46,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
43,200,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
33,50,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
33,181,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
27,119,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
42,361,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
43,73,3,999,0,1.1,93.994,-36.4,4.857,5191.0,no
42,67,2,999,0,1.1,93.994,-36.4,4.857,5191.0,no
27,350,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
34,150,2,999,0,1.1,93.994,-36.4,4.857,5191.0,no
31,332,2,999,0,1.1,93.994,-36.4,4.857,5191.0,no
54,611,2,999,0,1.1,93.994,-36.4,4.857,5191.0,no
40,58,3,999,0,1.1,93.994,-36.4,4.857,5191.0,no
52,151,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
47,89,2,999,0,1.1,93.994,-36.4,4.857,5191.0,no
49,152,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
32,611,2,999,0,1.1,93.994,-36.4,4.857,5191.0,no
49,110,2,999,0,1.1,93.994,-36.4,4.857,5191.0,no
50,463,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
34,962,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
55,102,2,999,0,1.1,93.994,-36.4,4.857,5191.0,no
47,10,4,999,0,1.1,93.994,-36.4,4.857,5191.0,no
51,118,3,999,0,1.1,93.994,-36.4,4.857,5191.0,no
47,92,2,999,0,1.1,93.994,-36.4,4.857,5191.0,no
56,143,3,999,0,1.1,93.994,-36.4,4.857,5191.0,no
53,189,3,999,0,1.1,93.994,-36.4,4.857,5191.0,no
36,75,2,999,0,1.1,93.994,-36.4,4.857,5191.0,no
42,189,2,999,0,1.1,93.994,-36.4,4.857,5191.0,no
44,55,2,999,0,1.1,93.994,-36.4,4.857,5191.0,no
39,935,3,999,0,1.1,93.994,-36.4,4.857,5191.0,yes
37,56,2,999,0,1.1,93.994,-36.4,4.857,5191.0,no
60,5,2,999,0,1.1,93.994,-36.4,4.857,5191.0,no
36,225,2,999,0,1.1,93.994,-36.4,4.857,5191.0,no
42,125,2,999,0,1.1,93.994,-36.4,4.857,5191.0,no
31,286,2,999,0,1.1,93.994,-36.4,4.857,5191.0,no
53,206,2,999,0,1.1,93.994,-36.4,4.857,5191.0,no
45,164,2,999,0,1.1,93.994,-36.4,4.857,5191.0,no
37,98,2,999,0,1.1,93.994,-36.4,4.857,5191.0,no
47,446,2,999,0,1.1,93.994,-36.4,4.857,5191.0,no
49,742,2,999,0,1.1,93.994,-36.4,4.857,5191.0,no
36,120,2,999,0,1.1,93.994,-36.4,4.857,5191.0,no
35,122,3,999,0,1.1,93.994,-36.4,4.857,5191.0,no
38,362,4,999,0,1.1,93.994,-36.4,4.857,5191.0,no
38,357,2,999,0,1.1,93.994,-36.4,4.857,5191.0,no
50,200,2,999,0,1.1,93.994,-36.4,4.857,5191.0,no
59,107,2,999,0,1.1,93.994,-36.4,4.857,5191.0,no
43,267,2,999,0,1.1,93.994,-36.4,4.857,5191.0,no
42,248,2,999,0,1.1,93.994,-36.4,4.857,5191.0,no
40,215,2,999,0,1.1,93.994,-36.4,4.857,5191.0,no
46,209,2,999,0,1.1,93.994,-36.4,4.857,5191.0,no
57,205,2,999,0,1.1,93.994,-36.4,4.857,5191.0,no
42,261,3,999,0,1.1,93.994,-36.4,4.857,5191.0,no
41,83,2,999,0,1.1,93.994,-36.4,4.857,5191.0,no
54,106,3,999,0,1.1,93.994,-36.4,4.857,5191.0,no
27,106,2,999,0,1.1,93.994,-36.4,4.857,5191.0,no
36,108,2,999,0,1.1,93.994,-36.4,4.857,5191.0,no
58,214,2,999,0,1.1,93.994,-36.4,4.857,5191.0,no
40,358,2,999,0,1.1,93.994,-36.4,4.857,5191.0,no
34,453,2,999,0,1.1,93.994,-36.4,4.857,5191.0,no
33,364,2,999,0,1.1,93.994,-36.4,4.857,5191.0,no
56,136,2,999,0,1.1,93.994,-36.4,4.857,5191.0,no
42,173,2,999,0,1.1,93.994,-36.4,4.857,5191.0,no
43,241,2,999,0,1.1,93.994,-36.4,4.857,5191.0,no
54,224,3,999,0,1.1,93.994,-36.4,4.857,5191.0,no
53,148,2,999,0,1.1,93.994,-36.4,4.857,5191.0,no
42,230,2,999,0,1.1,93.994,-36.4,4.857,5191.0,no
40,199,3,999,0,1.1,93.994,-36.4,4.857,5191.0,no
54,196,2,999,0,1.1,93.994,-36.4,4.857,5191.0,no
40,111,4,999,0,1.1,93.994,-36.4,4.857,5191.0,no
26,231,3,999,0,1.1,93.994,-36.4,4.857,5191.0,no
33,316,3,999,0,1.1,93.994,-36.4,4.857,5191.0,no
35,240,2,999,0,1.1,93.994,-36.4,4.857,5191.0,no
36,669,3,999,0,1.1,93.994,-36.4,4.857,5191.0,no
29,425,2,999,0,1.1,93.994,-36.4,4.857,5191.0,no
36,121,2,999,0,1.1,93.994,-36.4,4.857,5191.0,no
35,174,5,999,0,1.1,93.994,-36.4,4.857,5191.0,no
50,88,5,999,0,1.1,93.994,-36.4,4.857,5191.0,no
46,313,3,999,0,1.1,93.994,-36.4,4.857,5191.0,no
49,135,4,999,0,1.1,93.994,-36.4,4.857,5191.0,no
42,152,2,999,0,1.1,93.994,-36.4,4.857,5191.0,no
36,402,3,999,0,1.1,93.994,-36.4,4.857,5191.0,no
55,221,2,999,0,1.1,93.994,-36.4,4.857,5191.0,no
41,213,2,999,0,1.1,93.994,-36.4,4.857,5191.0,no
57,144,3,999,0,1.1,93.994,-36.4,4.857,5191.0,no
32,158,3,999,0,1.1,93.994,-36.4,4.857,5191.0,no
49,220,3,999,0,1.1,93.994,-36.4,4.857,5191.0,no
57,325,2,999,0,1.1,93.994,-36.4,4.857,5191.0,no
58,254,2,999,0,1.1,93.994,-36.4,4.857,5191.0,no
52,503,2,999,0,1.1,93.994,-36.4,4.857,5191.0,no
50,680,2,999,0,1.1,93.994,-36.4,4.857,5191.0,no
41,421,4,999,0,1.1,93.994,-36.4,4.857,5191.0,no
33,130,3,999,0,1.1,93.994,-36.4,4.857,5191.0,no
57,164,2,999,0,1.1,93.994,-36.4,4.857,5191.0,no
48,174,3,999,0,1.1,93.994,-36.4,4.857,5191.0,no
55,113,2,999,0,1.1,93.994,-36.4,4.857,5191.0,no
38,195,2,999,0,1.1,93.994,-36.4,4.857,5191.0,no
38,347,3,999,0,1.1,93.994,-36.4,4.857,5191.0,no
53,208,2,999,0,1.1,93.994,-36.4,4.857,5191.0,no
43,404,4,999,0,1.1,93.994,-36.4,4.857,5191.0,no
36,396,2,999,0,1.1,93.994,-36.4,4.857,5191.0,no
32,98,2,999,0,1.1,93.994,-36.4,4.857,5191.0,no
33,229,3,999,0,1.1,93.994,-36.4,4.857,5191.0,no
58,350,2,999,0,1.1,93.994,-36.4,4.857,5191.0,no
40,88,3,999,0,1.1,93.994,-36.4,4.857,5191.0,no
57,379,2,999,0,1.1,93.994,-36.4,4.857,5191.0,no
45,168,3,999,0,1.1,93.994,-36.4,4.857,5191.0,no
42,190,3,999,0,1.1,93.994,-36.4,4.857,5191.0,no
46,158,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
36,210,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
41,102,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
57,306,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
49,64,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
56,218,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
37,77,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
37,54,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
46,344,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
22,195,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
43,202,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
49,286,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
41,278,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
38,189,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
33,83,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
49,18,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
30,184,2,999,0,1.1,93.994,-36.4,4.857,5191.0,no
33,235,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
34,290,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
30,133,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
59,318,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
59,437,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
41,402,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
48,501,4,999,0,1.1,93.994,-36.4,4.857,5191.0,no
28,1201,1,999,0,1.1,93.994,-36.4,4.857,5191.0,yes
44,1030,1,999,0,1.1,93.994,-36.4,4.857,5191.0,yes
59,253,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
50,149,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
35,144,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
42,69,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
45,243,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
36,769,2,999,0,1.1,93.994,-36.4,4.857,5191.0,no
56,135,3,999,0,1.1,93.994,-36.4,4.857,5191.0,no
29,231,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
41,442,2,999,0,1.1,93.994,-36.4,4.857,5191.0,no
42,199,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
52,455,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
48,152,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
31,124,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
43,424,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
36,43,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
42,154,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
52,393,1,999,0,1.1,93.994,-36.4,4.857,5191.0,no
39,203,2,999,0,1.1,93.994,-36.4,4.857,5191.0,no
